Date,AHT.L,RTO.L,ABF.L,STJ.L,BATS.L,SMT.L,PRU.L,SMIN.L,SPX.L,SSE.L,BA.L,VOD.L,SDR.L,TSCO.L,RR.L,ANTO.L
1999-01-04,127.75569915771484,445.0,623.8635864257812,298.5,610.468994140625,71.5999984741211,746.6668701171875,1279.499267578125,560.5382080078125,625.0,505.0,249.993896484375,1033.009033203125,205.1999053955078,84.41929626464844,35.5
1999-01-05,128.6781005859375,444.0,619.318115234375,307.5,605.7109985351562,72.0999984741211,751.5927124023438,1252.499267578125,560.5382080078125,607.0,519.0,264.6502990722656,1041.008056640625,200.76649475097656,83.73300170898438,35.5
1999-01-06,129.13929748535156,453.25,635.79541015625,310.5,601.5469970703125,74.5,780.7368774414062,1294.499267578125,561.0767211914062,621.0,518.0,259.5264892578125,1110.010009765625,208.04989624023438,85.2771987915039,37.20000076293945
1999-01-07,133.75140380859375,451.75,609.6589965820312,314.5,635.4609985351562,74.0,769.243408203125,1263.749267578125,566.9998168945312,618.0,503.5,256.3092956542969,1082.009033203125,215.01649475097656,83.64720153808594,37.29999923706055
1999-01-08,133.75140380859375,460.25,638.6362915039062,319.0,643.7890014648438,75.0999984741211,763.9072265625,1280.999267578125,566.9998168945312,603.0,508.5,253.68780517578125,1123.010009765625,227.04989624023438,85.44879913330078,37.29999923706055
1999-01-11,133.75140380859375,453.5,650.568115234375,320.0,624.75,74.5,781.1473999023438,1297.499267578125,566.9998168945312,611.0,502.5,254.40269470214844,1155.010009765625,222.93319702148438,85.2771987915039,36.29999923706055
1999-01-12,133.2902069091797,460.75,617.6135864257812,312.0,653.5,74.5999984741211,783.1998291015625,1296.749267578125,570.7689819335938,614.5,508.0,256.0710144042969,1150.009033203125,234.9665069580078,84.67669677734375,36.099998474121094
1999-01-13,130.5229949951172,445.5,639.2045288085938,312.5,630.0,72.0999984741211,738.0468139648438,1205.249267578125,570.7689819335938,606.0,494.5,247.7299041748047,1113.009033203125,228.9499053955078,82.96089935302734,35.0
1999-01-14,130.9842071533203,443.25,628.4089965820312,313.5,634.5,71.0,715.4702758789062,1256.249267578125,570.7689819335938,611.0,491.5,250.58970642089844,1061.009033203125,236.54989624023438,82.27449798583984,34.79999923706055
1999-01-15,134.6739044189453,473.25,629.54541015625,310.0,671.5,71.0,730.6580810546875,1276.499267578125,570.7689819335938,616.0,519.0,254.64109802246094,1122.010009765625,247.63319396972656,82.10289764404297,34.29999923706055
1999-01-18,138.3636016845703,469.0,636.3635864257812,311.0,675.0,71.75,724.0903930664062,1276.499267578125,570.7689819335938,636.5,493.5,292.05670166015625,1120.010009765625,237.18319702148438,82.36029815673828,34.099998474121094
1999-01-19,148.97140502929688,468.0,630.1135864257812,305.0,657.0,72.0,735.1734008789062,1237.499267578125,568.6151123046875,623.5,425.5,267.6293029785156,1096.010009765625,229.89990234375,81.24500274658203,34.099998474121094
1999-01-20,158.6569061279297,466.75,639.2045288085938,301.5,639.0,73.0999984741211,768.0120239257812,1301.999267578125,551.3843994140625,630.0,450.0,276.2087097167969,1088.010009765625,233.06649780273438,82.96089935302734,34.099998474121094
1999-01-21,154.50599670410156,477.25,617.04541015625,301.5,611.5,72.69999694824219,771.706298828125,1342.499267578125,522.3074951171875,621.0,436.5,277.1619873046875,1103.009033203125,224.51649475097656,81.50240325927734,34.0
1999-01-22,158.19569396972656,454.5,609.6589965820312,296.5,603.0,71.0,758.5709228515625,1305.749267578125,522.3074951171875,612.5,419.5,268.22509765625,1079.009033203125,217.8665008544922,81.50240325927734,32.70000076293945
1999-01-25,156.81210327148438,463.0,626.1362915039062,294.5,603.5,71.0,770.0643920898438,1288.499267578125,520.1536254882812,609.5,427.5,273.4681091308594,1090.009033203125,221.9832000732422,81.33080291748047,31.700000762939453
1999-01-26,156.35079956054688,452.5,610.2271728515625,318.5,619.0,71.0,769.6538696289062,1289.999267578125,516.3843994140625,621.5,437.0,276.3279113769531,1073.009033203125,224.51649475097656,81.67400360107422,31.700000762939453
1999-01-27,155.8896026611328,434.5,615.3408813476562,320.0,619.5,71.69999694824219,755.697509765625,1285.499267578125,516.9229125976562,620.0,445.0,281.8091125488281,1065.008056640625,230.2165069580078,81.67400360107422,31.899999618530273
1999-01-28,154.96719360351562,442.5,594.8862915039062,314.5,613.0,71.69999694824219,766.3701171875,1269.749267578125,514.2305297851562,601.0,449.0,283.239013671875,1059.009033203125,234.64990234375,82.36029815673828,32.70000076293945
1999-01-29,155.42840576171875,447.5,605.1135864257812,299.0,627.0,71.69999694824219,768.4224853515625,1337.249267578125,517.9998168945312,588.5,462.0,282.52410888671875,1044.009033203125,237.18319702148438,84.59089660644531,33.5
1999-02-01,166.0363006591797,452.75,621.5908813476562,298.0,617.0,72.69999694824219,805.7763061523438,1349.249267578125,537.9227905273438,591.5,470.5,282.76239013671875,1088.010009765625,243.1999053955078,90.08159637451172,33.70000076293945
