Date,RADL3.SA,BBAS3.SA,PETR4.SA,USIM5.SA,LAME4.SA,PETR3.SA,OIBR4.SA,UGPA3.SA,BBDC3.SA,ENBR3.SA,ITSA4.SA,CCRO3.SA,CMIG4.SA,SBSP3.SA,LREN3.SA,BRKM5.SA
2005-01-03,0.06666599959135056,11.0,11.774999618530273,11.51111125946045,2484.851318359375,12.8125,133.1999969482422,6068052.0,3.005603075027466,6.770537853240967,2.5377039909362793,3.729374885559082,17143.84375,5.537083148956299,7214.7734375,32.875
2005-01-04,0.06666599959135056,10.733332633972168,11.635000228881836,11.046666145324707,2437.573486328125,12.782500267028809,125.0,6068052.0,2.8987770080566406,6.770537853240967,2.5377039909362793,3.6875,16805.033203125,5.5183329582214355,7214.7734375,30.969999313354492
2005-01-05,0.06666599959135056,10.566665649414062,11.59000015258789,11.066665649414062,2492.833251953125,12.699999809265137,124.5999984741211,6068052.0,2.791414976119995,6.770537853240967,2.5050299167633057,3.5637500286102295,16395.748046875,5.6483330726623535,7214.7734375,30.924999237060547
2005-01-06,0.06666599959135056,10.433333396911621,11.625,10.777776718139648,2524.147216796875,12.824999809265137,122.0999984741211,6068052.0,2.7108941078186035,6.770537853240967,2.4832470417022705,3.5718750953674316,15856.361328125,5.537083148956299,7214.7734375,30.075000762939453
2005-01-07,0.06666599959135056,10.333333015441895,11.676250457763672,10.733332633972168,2559.759033203125,12.881250381469727,127.0,6068052.0,2.7699429988861084,6.770537853240967,2.4886929988861084,3.684375047683716,16531.2734375,5.559165954589844,7214.7734375,30.325000762939453
2005-01-10,0.06666599959135056,10.066665649414062,11.524999618530273,10.755555152893066,2566.51318359375,12.837499618530273,121.5,6068052.0,2.737196922302246,6.770537853240967,2.4396820068359375,3.512500047683716,16157.2255859375,5.388750076293945,7214.7734375,29.25
2005-01-11,0.06666599959135056,10.100000381469727,11.649999618530273,10.953332901000977,2535.813232421875,12.918749809265137,120.30000305175781,6068052.0,2.721630096435547,6.770537853240967,2.450572967529297,3.5,15883.466796875,5.537083148956299,7214.7734375,29.774999618530273
2005-01-12,0.06666599959135056,10.166666030883789,11.587499618530273,11.244443893432617,2538.88330078125,12.885000228881836,119.5,6068052.0,2.657212972640991,6.770537853240967,2.4233438968658447,3.53125,15615.1279296875,5.525415897369385,7214.7734375,30.56999969482422
2005-01-13,0.06666599959135056,10.153332710266113,11.701250076293945,11.899999618530273,2492.833251953125,13.087499618530273,118.5,6068052.0,2.6684861183166504,6.770537853240967,2.4614639282226562,3.53125,15720.8369140625,5.59250020980835,7214.7734375,30.625
2005-01-14,0.06666599959135056,10.333333015441895,11.762499809265137,12.066665649414062,2467.659423828125,13.15250015258789,116.5,6068052.0,2.630908966064453,6.770537853240967,2.4396820068359375,3.5562500953674316,15856.361328125,5.555416107177734,7214.7734375,30.700000762939453
2005-01-17,0.06666599959135056,10.300000190734863,11.6875,12.0,2489.763427734375,13.012499809265137,112.80000305175781,6068052.0,2.6518449783325195,6.770537853240967,2.4178988933563232,3.5250000953674316,16070.490234375,5.425833225250244,7214.7734375,30.747499465942383
2005-01-18,0.06666599959135056,10.383333206176758,11.5625,11.755555152893066,2418.53955078125,13.00374984741211,109.30000305175781,6068052.0,2.7382709980010986,6.770537853240967,2.4124529361724854,3.481874942779541,15314.263671875,5.334166049957275,7214.7734375,29.700000762939453
2005-01-19,0.06666599959135056,10.699999809265137,11.631250381469727,11.844444274902344,2393.9794921875,13.082500457763672,113.0,6068052.0,2.8128879070281982,6.770537853240967,2.4560189247131348,3.471874952316284,15029.662109375,5.518750190734863,7214.7734375,29.5
2005-01-20,0.06666599959135056,10.366665840148926,11.368749618530273,11.55555534362793,2308.6337890625,12.824999809265137,106.80000305175781,6068052.0,2.7645750045776367,6.770537853240967,2.396116018295288,3.4937500953674316,14498.40625,5.3333330154418945,7214.7734375,28.424999237060547
2005-01-21,0.06666599959135056,10.166666030883789,11.387499809265137,11.5,2283.4599609375,12.901249885559082,109.0999984741211,6068052.0,2.6840529441833496,6.770537853240967,2.4070069789886475,3.4931249618530273,15097.4248046875,5.192500114440918,7214.7734375,28.975000381469727
2005-01-24,0.06666599959135056,10.433333396911621,11.536250114440918,11.513333320617676,2327.0537109375,13.0625,108.0,6068052.0,2.6840529441833496,6.770537853240967,2.4233438968658447,3.486875057220459,15693.732421875,5.151666164398193,7214.7734375,28.899999618530273
2005-01-26,0.06666599959135056,10.460000038146973,11.774999618530273,11.622221946716309,2333.19384765625,13.301250457763672,113.0,6068052.0,2.7452499866485596,6.770537853240967,2.401561975479126,3.40625,16111.1474609375,5.306250095367432,7214.7734375,28.75
2005-01-27,0.06666599959135056,10.266666412353516,11.75,11.411110877990723,2320.913818359375,13.287500381469727,109.5,6068052.0,2.7613539695739746,6.770537853240967,2.379779100418091,3.28125,15802.1513671875,5.229582786560059,7214.7734375,28.024999618530273
2005-01-28,0.06666599959135056,10.116665840148926,11.600000381469727,11.666666030883789,2308.6337890625,13.088749885559082,108.0,6068052.0,2.7806789875030518,6.770537853240967,2.396116018295288,3.3125,15368.4736328125,5.074999809265137,7214.7734375,28.850000381469727
2005-01-31,0.06666599959135056,10.300000190734863,11.662500381469727,11.888888359069824,2320.913818359375,13.1875,109.9000015258789,6068052.0,2.919713020324707,6.770537853240967,2.4560189247131348,3.284374952316284,15666.626953125,5.118332862854004,7214.7734375,29.024999618530273
