Date,MEGACPO.MX,ALSEA.MX,AC.MX,KIMBERA.MX,AMXL.MX,GRUMAB.MX,GCARSOA1.MX,BIMBOA.MX,GCC.MX,OMAB.MX,PINFRA.MX,GMEXICOB.MX,FEMSAUBD.MX,GAPB.MX,ASURB.MX,TLEVISACPO.MX,CEMEXCPO.MX,GFNORTEO.MX
2008-01-03,36.5,14.678799629211426,37.54999923706055,14.800000190734863,16.274999618530273,34.4552001953125,19.106300354003906,14.9399995803833,68.94999694824219,34.20000076293945,36.7599983215332,21.983800888061523,40.88999938964844,48.029998779296875,65.91000366210938,50.22999954223633,19.890199661254883,43.400001525878906
2008-01-04,36.310001373291016,14.45479965209961,38.77000045776367,14.373299598693848,15.989999771118164,34.2317008972168,18.817899703979492,14.489999771118164,66.41999816894531,33.38999938964844,35.5099983215332,21.26219940185547,39.099998474121094,47.09000015258789,67.06999969482422,49.560001373291016,19.26490020751953,42.349998474121094
2008-01-07,36.0,14.43529987335205,38.0,14.329999923706055,15.805000305175781,33.192100524902344,18.925399780273438,14.147500038146973,65.0,32.220001220703125,33.9900016784668,20.844900131225586,40.4900016784668,47.61000061035156,66.91999816894531,49.529998779296875,19.018999099731445,42.63999938964844
2008-01-08,36.25,13.996999740600586,37.0,14.513299942016602,16.084999084472656,32.686798095703125,18.861900329589844,13.90999984741211,64.0,32.08000183105469,33.189998626708984,21.45669937133789,41.25,49.43000030517578,66.75,49.34000015258789,19.124399185180664,43.04999923706055
2008-01-09,36.189998626708984,13.636500358581543,36.720001220703125,14.786700248718262,16.149999618530273,32.51190185546875,19.61479949951172,14.3149995803833,64.0,32.880001068115234,33.40999984741211,21.309200286865234,40.650001525878906,50.939998626708984,65.58999633789062,49.33000183105469,19.047100067138672,42.18000030517578
2008-01-10,36.0,13.626799583435059,35.88999938964844,14.800000190734863,16.584999084472656,32.35639953613281,19.986299514770508,14.494999885559082,63.400001525878906,32.7400016784668,32.959999084472656,21.2810001373291,41.79999923706055,51.43000030517578,66.5199966430664,50.900001525878906,19.503799438476562,44.15999984741211
2008-01-11,35.75,13.500200271606445,35.65999984741211,15.046699523925781,16.229999542236328,33.055999755859375,20.054800033569336,14.5024995803833,63.400001525878906,32.369998931884766,33.25,20.841699600219727,40.560001373291016,49.58000183105469,66.91999816894531,49.77000045776367,19.377300262451172,45.349998474121094
2008-01-14,35.5,13.792400360107422,35.709999084472656,15.289999961853027,16.0,32.34669876098633,20.563199996948242,14.65999984741211,62.959999084472656,31.700000762939453,33.349998474121094,21.22450065612793,40.04999923706055,49.09000015258789,67.08999633789062,50.290000915527344,18.96980094909668,46.369998931884766
2008-01-15,34.75,13.295599937438965,35.529998779296875,15.003299713134766,15.545000076293945,32.30780029296875,20.626800537109375,14.630000114440918,62.959999084472656,31.010000228881836,33.13999938964844,20.72249984741211,38.90999984741211,48.599998474121094,67.48999786376953,48.599998474121094,18.19700050354004,46.5
2008-01-16,33.15999984741211,12.701499938964844,35.470001220703125,14.786700248718262,15.074999809265137,31.666500091552734,19.83970069885254,14.725000381469727,62.959999084472656,30.43000030517578,33.0,19.20400047302246,38.5,47.68000030517578,65.1500015258789,47.4900016784668,18.14780044555664,44.22999954223633
2008-01-17,28.200000762939453,12.623600006103516,35.36000061035156,14.353300094604492,14.5649995803833,31.579099655151367,19.609899520874023,14.6274995803833,62.959999084472656,30.020000457763672,32.79999923706055,18.162399291992188,36.720001220703125,45.95000076293945,63.09000015258789,46.34000015258789,17.297700881958008,43.93000030517578
2008-01-18,33.0,12.467700004577637,35.25,14.220000267028809,14.324999809265137,31.579099655151367,20.401899337768555,14.742500305175781,62.959999084472656,30.0,34.25,18.407100677490234,37.65999984741211,44.560001373291016,62.220001220703125,46.13999938964844,17.508499145507812,44.0099983215332
2008-01-21,32.0,11.67870044708252,34.88999938964844,14.293299674987793,13.329999923706055,30.121599197387695,19.991199493408203,14.470000267028809,62.959999084472656,29.100000381469727,33.099998474121094,16.99530029296875,36.130001068115234,42.91999816894531,61.119998931884766,44.810001373291016,16.342199325561523,40.63999938964844
2008-01-22,31.479999542236328,12.068300247192383,35.5,14.5,14.854999542236328,30.918399810791016,20.470399856567383,15.237500190734863,65.0,29.5,33.5,17.920799255371094,37.65999984741211,43.45000076293945,59.88999938964844,45.779998779296875,17.972200393676758,42.63999938964844
2008-01-23,31.0,11.854100227355957,34.61000061035156,14.523300170898438,14.300000190734863,30.296499252319336,20.142799377441406,15.569999694824219,65.0,29.15999984741211,33.529998779296875,18.278499603271484,36.900001525878906,41.08000183105469,60.29999923706055,46.849998474121094,18.91360092163086,40.79999923706055
2008-01-24,32.0,12.136500358581543,35.7400016784668,14.763299942016602,15.494999885559082,29.84950065612793,20.52899932861328,15.90999984741211,63.0,29.610000610351562,33.22999954223633,18.827499389648438,39.290000915527344,45.349998474121094,60.470001220703125,48.119998931884766,19.93939971923828,42.31999969482422
2008-01-25,31.0,11.561800003051758,36.0,14.6766996383667,15.005000114440918,29.878700256347656,20.245500564575195,15.529999732971191,62.0,30.40999984741211,32.31999969482422,19.348400115966797,38.65999984741211,46.66999816894531,60.880001068115234,46.709999084472656,18.723899841308594,42.61000061035156
2008-01-28,31.290000915527344,11.435199737548828,35.9900016784668,14.66670036315918,15.470000267028809,29.149900436401367,20.993499755859375,16.184999465942383,61.0,30.010000228881836,33.720001220703125,18.887100219726562,39.099998474121094,45.13999938964844,58.720001220703125,47.220001220703125,18.372600555419922,41.97999954223633
