Date,ABT,ATVI,ALK,ALB,LNT,AEE,AEP,AXP,AIG,AME,AMGN,APH,AOS,APA,AMAT,ADM,T,AVY,BLL,DUK,EA
1999-01-04,21.88391876220703,0.90625,10.859375,12.03125,16.0,42.6875,47.6875,29.614316940307617,1062.6666259765625,3.3333330154418945,26.84375,0.9257810115814209,4.09375,10.44372272491455,11.078125,14.361300468444824,52.625,44.9375,2.804687976837158,56.275901794433594,12.625
1999-01-05,21.91197395324707,0.9010419845581055,11.71875,11.90625,15.6875,42.3125,47.5625,29.04901885986328,1070.6666259765625,3.055556058883667,26.75,0.921875,4.1770830154418945,10.119048118591309,12.4375,14.415289878845215,52.625,42.6875,2.800781011581421,56.05799102783203,12.453125
1999-01-06,21.743635177612305,0.9166669845581055,11.96875,11.84375,15.5625,42.25,47.9375,30.23432159423828,1069.3333740234375,3.1018519401550293,26.5625,0.9394530057907104,4.34375,10.714285850524902,13.390625,14.523269653320312,54.0,43.75,2.777343988418579,56.384857177734375,13.0625
1999-01-07,21.46307373046875,0.9114580154418945,12.25,11.34375,15.46875,41.875,47.5,30.599029541015625,1116.0,3.0740740299224854,27.46875,0.9453129768371582,4.3541669845581055,10.579004287719727,13.65625,14.469280242919922,55.875,43.125,2.738281011581421,56.384857177734375,12.65625
1999-01-08,21.378904342651367,0.9010419845581055,12.5,11.375,15.40625,41.5,47.3125,31.529035568237305,1143.3333740234375,3.0462958812713623,27.703125,0.9609379768371582,4.375,10.579004287719727,13.875,14.361300468444824,57.6875,43.375,2.75,55.78559875488281,11.8125
1999-01-11,21.09834098815918,1.0052080154418945,11.890625,11.5,15.21875,40.625,47.25,31.000207901000977,1100.0,3.027777910232544,27.15625,0.9746090173721313,4.28125,10.551947593688965,13.875,14.307310104370117,55.125,43.1875,2.816406011581421,55.02290725708008,11.640625
1999-01-12,20.901947021484375,0.9947919845581055,11.890625,11.34375,15.4375,40.8125,47.3125,29.869613647460938,1070.6666259765625,2.962963104248047,26.75,0.9707030057907104,4.2604169845581055,10.28138542175293,13.359375,14.037361145019531,53.75,42.375,2.765625,55.24081802368164,11.390625
1999-01-13,21.575298309326172,0.9791669845581055,11.84375,11.40625,15.1875,40.75,47.125,28.79372215270996,1082.6666259765625,2.9814810752868652,27.25,1.0,4.2395830154418945,10.010823249816895,13.71875,14.307310104370117,54.25,40.6875,2.726562976837158,55.62216567993164,11.21875
1999-01-14,21.294734954833984,0.9895830154418945,11.75,11.0,15.125,40.1875,47.0625,28.009599685668945,1058.0,2.962963104248047,26.25,1.0175780057907104,4.125,9.821429252624512,13.3125,13.983370780944824,54.25,41.5,2.710937976837158,55.34977340698242,11.0
1999-01-15,21.378904342651367,1.046875,12.328125,11.25,15.09375,40.5,47.0,30.45314598083496,1094.6666259765625,2.990741014480591,27.21875,1.0449219942092896,4.0416669845581055,9.767315864562988,14.046875,14.25331974029541,55.9375,41.8125,2.746093988418579,55.67664337158203,11.75
