Date,RMV.L,AHT.L,EXPN.L,RTO.L,ABF.L,STJ.L,BATS.L,PRU.L,GVC.L,SMIN.L,CPG.L,SPX.L,SSE.L,BA.L,VOD.L,SDR.L,SLA.L,RB.L,TSCO.L,RR.L,ANTO.L
03/01/2008,47.625,80.75,402.75,118.9000015,873,273.0409851,1974,714.5,98.5,1005,341.1690063,950.9229736,1657,497,194.1390076,1253,312.5830078,2828.600098,468,537,717
04/01/2008,45.59999847,79.75,395.25,117,831.5,256.0069885,1959,685.5,101,1007,338.6830139,928.8460083,1635,479,193.7220001,1202,301.5830078,2783.639893,456,528,688
07/01/2008,44.29999924,77.5,392.25,112.9000015,834,258.9689941,1969,689.5,101,1015,333.7099915,899.2310181,1668,480,196.1199951,1126,297.6109924,2808.070068,445.5,511,668.5
08/01/2008,45.29999924,76,396.5,114.5999985,826.5,248.6009979,1968,671,104.5,1010,338.9590149,910,1667,492,199.7689972,1133,292.1109924,2779.72998,442,516.5,672
09/01/2008,42.5,73,372.75,107.9000015,789.5,240.2070007,2007,687.5,105,1014,337.3009949,888.4619751,1659,507,196.1199951,1113,282.3330078,2775.820068,418.75,528,645
10/01/2008,42.875,72,361.75,106,801,235.022995,2049,673,105,1005,324.5939941,910,1679,493.5,196.7449951,1100,275,2687.850098,416.25,525,644.5
11/01/2008,42.79999924,72.5,359.75,106.8000031,794,237.7380066,1985,675,105,1006,326.5280151,911.6149902,1613,489,194.2429962,1089,275.9169922,2596.959961,426,514,651.5
14/01/2008,41.54999924,74,366,109.1999969,797.5,239.9600067,1945,695,105,1030,332.605011,936.9229736,1596,488,190.802002,1100,288.1390076,2543.199951,420,512.5,665
15/01/2008,39.97499847,71,375,105.6999969,766,233.7879944,1871,670,105,996.5,330.394989,938.5380249,1571,482,189.3430023,1078,278.9719849,2494.330078,407,500,632.5
16/01/2008,37.5,69.75,362.75,103.9000015,775,226.8760071,1895,642,105,1030,340.3399963,917.5380249,1537,484,187.8829956,1070,278.3609924,2582.290039,417.75,485.25,589.5
17/01/2008,37.82500076,71,360,106.5999985,838,245.6380005,1882,633.5,111,1022,345.5889893,911.0770264,1523,478.25,187.673996,1079,276.2219849,2603.800049,423,480.75,583.5
18/01/2008,39,73,372.75,108.4000015,831,239.4660034,1891,596.5,121.5,1031,349.4559937,930.4619751,1523,473.25,186.1100006,1019,258.8059998,2603.800049,424.75,479.25,602.5
21/01/2008,36.82500076,68,363.75,104.8000031,806.5,216.2599945,1832,573.5,112.5,1005,335.3680115,887.9229736,1464,456,177.6649933,933,248.7220001,2477.709961,410.5,448.5,578
22/01/2008,38.54999924,69.5,377.5,107.4000015,844.5,237.4909973,1802,618.5,110.5,1013,344.2080078,944.4619751,1486,474,180.3760071,1022,269.5,2525.600098,426.5,465.5,601.5
23/01/2008,39.79999924,69.5,388.5,104,824.5,240.9470062,1708,626,110.5,986,337.5780029,919.6920166,1430,459.5,172.1390076,982,275.3059998,2391.699951,412.25,452.5,582.5
24/01/2008,42,76,411.25,109.5999985,860.5,306.1220093,1738,655,117.5,1007,365.7550049,971.9229736,1472,458,178.8119965,1106,286.3059998,2512.899902,430,455.5,632.5
25/01/2008,41.5,76,399,108.0999985,867.5,273.5350037,1759,639,116.5,993,354.4289856,968.1539917,1502,468,182.7740021,1113,277.1390076,2541.23999,420.75,471.25,652
28/01/2008,41.47499847,74,399.5,107.0999985,853.5,259.7099915,1742,635,123,985.5,356.3630066,968.1539917,1509,473.25,179.3329926,1102,275.6109924,2484.550049,415,464.5,627.5
29/01/2008,42.84999847,77,409,109.3000031,885.5,265.8819885,1773,654,127,1000,358.29599,986.4619751,1522,472.75,181.2100067,1143,278.6669922,2506.060059,421.25,482,669.5
30/01/2008,43.52500153,79.75,432.5,107.1999969,874,259.9570007,1770,640.5,126,980.5,346.9700012,980.5380249,1522,480,184.4420013,1116,273.7780151,2490.419922,410.75,477,656
31/01/2008,43.59999847,78.75,440.25,108.3000031,866.5,252.5500031,1795,640.5,127.5,997.5,349.1799927,967.6149902,1528,465,182.7740021,1086,263.3890076,2560.790039,417,471.25,652.5
01/02/2008,42.67499924,81.5,444,111.6999969,876.5,258.9689941,1814,656,128.5,999.5,364.0979919,992.3850098,1560,481.5,189.0299988,1114,276.2219849,2588.159912,416.75,486.25,700
04/02/2008,43.09999847,83.25,438.75,111.0999985,880.5,258.4750061,1802,659,132,975.5,360.506012,1009.609985,1560,480.25,185.4850006,1103,277.75,2541.23999,408.75,490.25,710
05/02/2008,43,79.5,416,106.8000031,848,241.4409943,1794,627,136,968,344.2080078,968.1539917,1514,467.75,181.0010071,1025,263.0830078,2472.830078,396.5,467,675.5
06/02/2008,43.59999847,77.25,422.5,108.3000031,856.5,239.9600067,1823,624,131,975,350.0090027,953.0770264,1528,470,181.6269989,1017,261.25,2581.320068,399.25,480,674
07/02/2008,43.57500076,76.5,418.25,106.5,824.5,230.3320007,1808,591,131,959.5,346.6940002,966.5380249,1503,461.75,177.2480011,987.5,248.1109924,2547.110107,386.75,431,680
08/02/2008,43.34999847,76.75,423.5,106.8000031,830,223.4199982,1857,606,142.5,947.5,360.7829895,960.0770264,1531,457,181.7310028,999,251.1670074,2548.090088,389,412,722.5
11/02/2008,43.82500076,75.25,417.5,105.4000015,810.5,221.197998,1854,583,141,933.5,365.2030029,955.2310181,1523,450.25,178.2910004,975,242,2554.929932,387.5,408,727
12/02/2008,44.90000153,78.75,435.5,109.9000015,834,238.7259979,1853,615,140,966.5,367.6889954,994,1596,468.5,185.276001,1003,254.5279999,2595,406,417,760
13/02/2008,46.59999847,79,453.75,110.1999969,843.5,237.7380066,1850,608,136.5,965,361.0589905,997.2310181,1590,459,182.0440063,1007,253.3059998,2661.459961,400,422.25,764
14/02/2008,48.95000076,80.25,445.5,110.9000015,850.5,250.5749969,1834,590,131,980,363.2690125,1033.849976,1563,460.5,181.3139954,969,257.5830078,2737.699951,403.25,429.25,772
15/02/2008,48.29999924,79.25,443,107.8000031,841,243.6629944,1811,593,133.5,966,355.8099976,1033.849976,1529,457,178.1860046,930.5,251.1670074,2741.610107,400.5,416.75,758
18/02/2008,50.09999847,81.75,455,109.6999969,861,250.0820007,1844,622,135,985,361.8880005,1033.849976,1569,463.75,181.2100067,974,258.1940002,2784.620117,408,430.5,785
19/02/2008,50.54999924,83.75,453.75,109.5,861.5,260.696991,1825,623.5,141,988,366.8599854,1034.390015,1550,461.75,177.1439972,957.5,255.4440002,2712.290039,415,428.5,826
20/02/2008,49.52500153,82.25,440.25,107.8000031,861,256.5,1860,616.5,141,997,373.2139893,1051.609985,1535,472,168.9069977,941.5,256.3609924,2714.23999,408.75,436,828.5
21/02/2008,50.79999924,81.5,439.25,108,872.5,266.1279907,1858,624,137.5,993.5,369.0700073,1045.150024,1504,478,170.8880005,931.5,261.5559998,2768.97998,407.25,441.75,845
22/02/2008,50.09999847,79.75,425,106,876.5,265.6350098,1874,610,137.5,992.5,358.572998,1023.080017,1492,478,169.4279938,918.5,255.1390076,2704.469971,400.25,447,820
25/02/2008,51,80,443.25,108.6999969,850.5,271.5599976,1874,628,139,1001,370.4509888,1060.77002,1491,486.5,172.1390076,909.5,269.1940002,2701.540039,403.5,445,800
26/02/2008,54,80.75,446.75,107.3000031,847,283.9030151,1913,646,139,1010,366.8599854,1055.390015,1471,497.75,175.1629944,949,285.6940002,2689.810059,409.25,454,821
27/02/2008,52.75,80.75,442,105,865.5,283.6560059,1939,643.5,140,1008,370.4509888,1061.849976,1500,499.25,171.201004,977,278.0559998,2715.219971,406.75,446.5,833.5
28/02/2008,52.90000153,77,425.5,80.5,854.5,274.2749939,1916,628.5,142.5,990,362.4400024,1041.390015,1477,488.5,168.2810059,940.5,273.1669922,2722.060059,401,436.5,840
29/02/2008,50.20000076,76.5,426,83.40000153,848.5,262.9190063,1895,610.5,149.5,993.5,360.7829895,1012.309998,1477,482.75,169.6369934,958.5,267.6669922,2668.310059,400.5,434.5,812.5
03/03/2008,50.09999847,74,415.25,82.59999847,825,255.2660065,1895,601,148.5,999.5,367.1359863,1008,1437,487.75,166.8220062,926.5,256.9719849,2639.959961,393,440.25,818.5
04/03/2008,50.09999847,73.75,418,83.40000153,817.5,256.993988,1906,602.5,145.5,993.5,375.4240112,1012.309998,1426,490.25,164.2149963,962.5,253.9170074,2596.959961,388.25,431,813.5
05/03/2008,50,76,420,85,825.5,260.20401,1848,643.5,147.5,998,385.92099,1027.920044,1424,490.5,166.8220062,1006,264,2609.659912,391.75,435.75,837
06/03/2008,50.5,74.25,408.75,83.5,824.5,248.6009979,1840,621.5,147.5,980,367.6889954,1027.390015,1438,482.25,163.1719971,957.5,255.75,2612.590088,403,429,830
07/03/2008,48.90000153,71.5,407.5,82.90000153,819,250.8220062,1823,626,147.5,971.5,370.7279968,1099.540039,1405,490.5,160.8789978,903.5,253.6109924,2571.540039,405.75,425.5,786.5
10/03/2008,48.875,66.25,405,81.09999847,839.5,239.2189941,1875,622.5,146.5,961,353.6000061,1023.609985,1399,481.75,157.8549957,861.5,253.6109924,2551.02002,410.5,409,728
11/03/2008,47.82500076,68.25,412.25,79.5,847,246.1320038,1902,639.5,147.5,966.5,350.8380127,1032.77002,1425,490.25,160.8789978,870,267.3609924,2602.820068,403,412.5,724
12/03/2008,49.40000153,69.75,400,77.59999847,848,258.7219849,1933,659,152.5,966,348.0750122,1071,1420,488.5,160.3569946,874,301.8890076,2630.189941,400,418,760
13/03/2008,49.75,67.5,386.75,77,851.5,243.1690063,1958,654,150,956.5,348.0750122,1085.540039,1456,484,158.3760071,856,293.9440002,2629.209961,393.75,407.75,754
14/03/2008,49.25,65,380,77,854,236.996994,1916,622,156,950,338.6830139,1064.540039,1469,486.75,156.2910004,855,286.6109924,2606.72998,380.25,408.5,750
17/03/2008,47.25,61.5,358,71.59999847,839.5,222.1849976,1858,588,158.5,923.5,341.4450073,1048.920044,1421,465.7999878,155.1439972,826.5,281.1109924,2549.060059,364.25,393.25,687
18/03/2008,47.70000076,62.5,360.25,72.69999695,851.5,227.6159973,1900,625,164,947,355.5339966,1074.77002,1478,476.75,159.522995,866,296.0830078,2618.459961,373.5,406.5,700.5
19/03/2008,47.04999924,54.25,381.75,72.80000305,865.5,230.5789948,1879,634,161,940,345.5889893,1093.079956,1455,478.25,154.9360046,854.5,289.6669922,2664.399902,375.75,408.25,666.5
20/03/2008,46.79999924,52.5,367.5,85.5,869,219.9629974,1880,635,161,913,341.7210083,1083.390015,1412,471,155.6649933,849.5,286.9169922,2721.090088,389.5,394.5,622
25/03/2008,48.72499847,59.5,381,91,888.5,244.8970032,1822,661.5,167.5,944,345.5889893,1072.609985,1446,485.5,158.3760071,916.5,308.6109924,2700.560059,394.5,413,638
26/03/2008,49.47499847,60.5,379.25,87.5,885,248.3540039,1775,653,171,931,343.1029968,1083.390015,1420,479.75,160.1490021,927.5,298.5280151,2696.649902,391.25,407.25,651.5
27/03/2008,50,64,375,96,889.5,261.9320068,1842,662,169.5,940.5,355.2579956,1117.849976,1410,484.75,164.1109924,953.5,304.3330078,2678.080078,392.75,409,657.5
28/03/2008,49.90000153,62.5,364.5,97.5,879,256.7470093,1858,672.5,169.5,940.5,359.125,1103.849976,1417,484.75,163.6940002,950,299.1390076,2671.23999,390.25,404,675.5
31/03/2008,48.92499924,62,367,97.25,875,255.7599945,1891,665.5,169.5,940,356.0859985,1106,1404,485.25,157.3339996,938,300.9719849,2727.929932,379,403,701
01/04/2008,49.79999924,63.75,383,99,904,270.8190002,1922,687.5,167.5,960,370.1749878,1129.689941,1432,493,160.8789978,983,315.3330078,2809.050049,405.25,420,690.5
02/04/2008,49.5,63.5,379.5,99.25,895,280.9410095,1891,703,166.5,967,370.1749878,1130.77002,1421,504.5,165.1529999,1030,322.6669922,2759.199951,407.75,430.75,705
03/04/2008,49.29999924,62,366.25,96.25,890,266.868988,1885,680,168,955,364.6499939,1117.849976,1420,501,167.2389984,1000,314.7219849,2758.22998,403.75,433,719.5
04/04/2008,48.82500076,62,364.75,96.25,892.5,271.8070068,1892,683,169,965,364.6499939,1151.22998,1418,505,165.9880066,1037,319.6109924,2746.5,404.75,441.5,748.5
07/04/2008,46.97499847,61.75,364.25,94.5,890,273.7810059,1891,697,183,971,366.3080139,1156.609985,1432,505.5,167.9689941,1076,332.4440002,2749.429932,409.5,444,781
08/04/2008,45.5,59.25,361,94,890,270.0780029,1898,692,191,954,364.0979919,1154.459961,1404,497.5,165.4660034,1049,323.8890076,2744.540039,401,438.5,775
09/04/2008,45,59.75,363.75,92.25,881.5,271.5599976,1892,683,191,943,361.8880005,1136.150024,1357,503.5,166.4049988,1047,309.5280151,2694.699951,400.25,433,786
10/04/2008,45.04999924,58,358,93,892.5,267.8569946,1913,673,192.5,941,360.7829895,1136.150024,1360,499.25,165.8829956,1010,299.4440002,2678.080078,391.75,432.25,768
11/04/2008,44.82500076,58.5,355,90.75,885,272.053009,1909,663,192.5,914.5,362.9930115,1132.920044,1390,475,158.6889954,1002,300.3609924,2658.530029,387.75,418.25,771.5
14/04/2008,43.04999924,58.75,352,89.75,877,269.3380127,1887,646,191,904.5,362.7160034,1128.609985,1379,475.75,156.1869965,987.5,300.0559998,2664.399902,391,419,750.5
15/04/2008,42.07500076,59,356,92.25,877,265.8819885,1909,656,191.5,921,365.7550049,1130.77002,1351,478,157.8549957,984,300.0559998,2721.090088,419.5,425,767.5
16/04/2008,43.45000076,60,395.25,92.5,896.5,277.2380066,1964,682.5,208.5,942.5,371.8330078,1149.079956,1348,466.75,161.3999939,1018,302.5,2724.02002,418.25,425,798
17/04/2008,43.04999924,61,380.5,95.25,890.5,279.7059937,1973,674.5,263.5,938,375.7000122,1142.609985,1338,457.25,158.2720032,1009,299.75,2712.290039,405,430.5,788
18/04/2008,44.375,62.5,395,95,899.5,285.8779907,2007,702,263.5,962.5,380.3959961,1180.310059,1328,462.25,162.651001,1066,308,2732.810059,410.25,443,779
21/04/2008,44.5,63,384,97.5,890,275.5100098,1993,693,245,946,378.1860046,1183.540039,1346,457,160.6699982,1062,304.9440002,2747.47998,417,435,802
22/04/2008,43.47499847,61.75,382.25,95,871,267.6099854,1972,677.5,235.5,950,373.7659912,1194.310059,1361,459,161.2960052,1075,299.75,2735.75,411.5,437.75,830
23/04/2008,43.25,60,390.25,95.25,878.5,270.8190002,1998,696.5,225,949,375.7000122,1185.689941,1384,472.25,160.5659943,1093,302.1940002,2717.179932,410.5,429.5,851
24/04/2008,41.29999924,58.75,382.75,95.25,889,272.7940063,2023,699.5,226,969,373.2139893,1196.459961,1390,481.75,164.1109924,1020,304.9440002,2912.659912,414,436,808.5
25/04/2008,42.54999924,58.75,386,96,883,267.6099854,1971,699.5,228.5,976,380.1199951,1182.459961,1390,475.75,165.9880066,1055,309.5280151,2858.899902,426.5,450.25,782
28/04/2008,42.04999924,62,392,96.75,879.5,270.3250122,1960,708,227,968,377.6340027,1187.849976,1385,468.5,164.2149963,1055,304.6390076,2841.310059,420,446,802
29/04/2008,42,60.75,379.25,95.5,864.5,260.20401,1932,685.5,227,964,375.9760132,1177.079956,1381,464,165.2579956,1035,302.8059998,2860.850098,417.75,437,783
30/04/2008,41.95000076,60.5,380.5,96,881.5,260.696991,1897,690,220.5,968.5,376.8049927,1180.310059,1392,466.75,167.1340027,1053,306.1669922,2871.610107,429,439,802.5
01/05/2008,41.15000153,61.25,384,94.5,878,271.0660095,1926,697,220.5,967.5,377.6340027,1172.77002,1405,472.75,166.0919952,1052,308.9169922,2854.98999,427,443,792
02/05/2008,44,65,401.75,96.5,887,278.2250061,1920,726,221.5,985.5,386.473999,1163.079956,1415,475,170.470993,1073,322.3609924,2897.02002,436,453.75,802.5
06/05/2008,41.09999847,66.5,398.5,94.25,883.5,276.4970093,1938,713.5,233,986,383.9880066,1174.920044,1399,467.75,167.6560059,1058,319.6109924,2891.149902,430.5,446,802
07/05/2008,39.70000076,70.5,407,96,882,275.756012,1994,709.5,216.5,984.5,393.6560059,1172.77002,1418,465.75,171.095993,1073,319.3059998,2902.879883,427,449.25,767.5
08/05/2008,40.20000076,71.75,407,94,888.5,277.7309875,2016,709.5,216.5,1000,395.5899963,1184.609985,1413,472,169.6369934,1070,317.4719849,2935.139893,430,450.75,809.5
09/05/2008,40.20000076,68,421.25,94.5,891,267.8569946,2027,702.5,233.5,1008,395.0379944,1188.920044,1407,478,168.697998,1056,314.1109924,2941.97998,427,449.25,777
12/05/2008,40.09999847,69.75,417.75,94.5,898.5,271.3129883,2000,702,233.5,1001,391.7229919,1242.77002,1407,476.25,168.9069977,1052,318.6940002,2929.27002,431.5,450.25,766
13/05/2008,39,69.5,417.5,95,889.5,265.3880005,2009,704.5,234.5,997.5,378.1860046,1263.22998,1390,471,169.8450012,1042,312.2780151,2938.070068,437,446,757.5
14/05/2008,38.15000153,68,403.25,94,892.5,263.1659851,1993,696.5,234.5,999,395.5899963,1236.310059,1400,468.25,170.0540009,1042,312.2780151,2914.610107,429.5,443.5,773.5
15/05/2008,38.54999924,68.25,402.75,93.75,889.5,262.6719971,1966,693.5,232.5,1003,393.6560059,1254.609985,1411,469.75,170.1580048,1077,314.1109924,2918.52002,430.25,450,790
16/05/2008,37.875,70.5,409.5,94.5,885.5,261.9320068,1980,697.5,227.5,1006,405.8110046,1278.310059,1414,466.75,173.4949951,1082,315.9440002,2891.149902,434.5,439.25,782
19/05/2008,38.75,71,421,95,884.5,268.3500061,1967,703,225,1016,417.1380005,1291.22998,1434,458.25,175.1629944,1091,315.9440002,2931.22998,430.7999878,439.5,797
20/05/2008,37.95000076,69,398.75,94,868,258.4750061,1925,676.5,225,993.5,400.8389893,1239.540039,1424,455.5,168.697998,1044,306.7780151,2888.219971,423,425.75,761
21/05/2008,37.25,68,397,94,863.5,252.0570068,1935,660,225,987,397.7999878,1234.150024,1427,459.25,165.3619995,1028,296.3890076,2854.01001,415.5,411.25,746
22/05/2008,37.5,68.5,395.25,94.75,861,246.6260071,1902,655.5,223.5,978.5,398.6289978,1243.849976,1469,454,170.470993,1006,293.9440002,2840.330078,422,405,732
23/05/2008,37.20000076,68,398.75,94.5,844.5,251.8099976,1913,648.5,229,967.5,399.7340088,1228.77002,1444,448.75,170.2619934,1000,292.1109924,2856.949951,414,396.75,693.5
27/05/2008,36.65000153,75.5,403,94.75,852,248.1069946,1898,644,224,971,412.4410095,1236.310059,1457,455,167.3430023,1023,293.3330078,2834.459961,414,400,686
28/05/2008,37.22499847,76,406.5,96.5,859.5,251.8099976,1899,657.5,224,972.5,419.0710144,1232,1452,455,169.8450012,1056,296.0830078,2865.73999,419.2999878,411.25,697
29/05/2008,36.29999924,75,402.25,97.25,851,255.7599945,1916,663,235,989.5,410.5079956,1241.689941,1466,455,167.7599945,1054,296.3890076,2903.860107,411.7999878,414,690.5
30/05/2008,35.15000153,76.25,405.75,99.75,861.5,257.2409973,1888,665,246.5,1006,414.375,1232,1472,453.25,169.1679993,1050,306.7780151,2906.790039,414.1000061,422.75,689.5
02/06/2008,34,72.25,390.5,97.5,841,250.3289948,1868,655,264,993.5,424.3200073,1233.079956,1453,452.25,167.4989929,1046,308.6109924,2881.379883,409,414.5,692.5
03/06/2008,33,72.5,387,97.5,841.5,253.7850037,1892,670.5,262.5,1015,425.4249878,1264.310059,1488,459,169.6889954,1042,320.8330078,2900.929932,412,414,689
04/06/2008,32.54999924,72.75,383,100,842.5,254.7720032,1899,661.5,256,1050,435.0939941,1274,1475,460,161.2440033,1036,328.1669922,2893.110107,411.5,412.25,674.5
05/06/2008,34,74.25,399.75,102.5,844,256.2539978,1896,660,256,1044,433.7130127,1281.540039,1474,462.25,167.2910004,1038,320.5280151,2885.290039,417.5,409,670
06/06/2008,33,72,387.5,102.25,831.5,248.6009979,1852,644,251.5,1022,417.6900024,1244.920044,1509,451.5,168.0209961,1012,301.5830078,2845.219971,409.6000061,391.5,667.5
09/06/2008,32.04999924,71.25,384,99.5,821.5,246.1320038,1847,634,250,1034,409.1260071,1244.920044,1527,457.75,162.026001,997.5,303.1109924,2856.949951,401.8999939,383.5,671
10/06/2008,32.5,69.5,387.25,99.25,820.5,236.0099945,1861,637.5,250,1044,414.928009,1232,1541,448.5,162.1820068,972,299.4440002,2820.780029,391.7999878,387.25,645.5
11/06/2008,32.84999847,67.25,383.5,97.75,805,221.197998,1867,609,246.5,1042,400.5629883,1238.459961,1507,446.5,157.072998,933,287.8330078,2819.800049,386.1000061,374.75,612.5
12/06/2008,33.29999924,66.75,389.25,99.25,811.5,228.3569946,1866,638.5,242.5,1040,405.8110046,1251.390015,1454,443.75,155.8220062,972.5,296.0830078,2790.47998,387.7000122,379.25,633
13/06/2008,33.07500076,70,398.25,100,818.5,228.6040039,1860,628.5,241,1055,408.0209961,1258.920044,1460,449.75,159.6269989,969.5,296.3890076,2747.47998,390,379.5,631
16/06/2008,33,70,400.5,102,809.5,227.8630066,1859,622,241,1053,397.2479858,1228.77002,1434,441,156.3430023,971,289.6669922,2741.610107,386.7000122,378,652
17/06/2008,33.90000153,71.25,402.75,103.5,822,233.0480042,1860,623.5,241,1080,402.7730103,1240.609985,1446,449.75,158.4810028,1001,296.3890076,2767.02002,393,382.25,655
18/06/2008,32.5,70.75,396,104.5,796,229.0980072,1831,607,241,1061,406.3640137,1209.390015,1440,436,156.5,949.5,289.0559998,2746.5,381.2999878,365,646.5
19/06/2008,32,70.75,396,104.5,796,229.0980072,1831,607,241,1061,398.3529968,1185.689941,1440,436,155.1959991,949.5,289.0559998,2746.5,381.2999878,365,646.5
20/06/2008,30,72,372.75,104.5,775,224.1600037,1725,592,239.5,1057,395.8659973,1158.77002,1426,419.5,150.3480072,940.5,273.1669922,2678.080078,374.5,346.5,665
23/06/2008,28.97500038,71.75,375.75,108.5,779.5,219.9629974,1765,589.5,239.5,1073,408.2980042,1183.540039,1461,420,151.2859955,934,272.25,2648.76001,378,348.5,645
24/06/2008,29.45000076,68.5,373.5,105.25,778.5,223.9129944,1754,575,236,1079,409.9549866,1172.77002,1424,420.5,151.1820068,926,270.7219849,2624.320068,365.1000061,339.25,656
25/06/2008,29.79999924,68.5,367,102,792.5,228.3569946,1773,587,232.5,1090,413.54599,1173.849976,1434,429.5,152.3289948,966.5,273.4719849,2635.070068,381,353,653
26/06/2008,28.02499962,65.75,356.5,100.5,763,221.197998,1705,551,224,1062,408.8500061,1149.079956,1416,418.5,145.7599945,916,259.7219849,2577.409912,364.7000122,328.75,648.5
27/06/2008,27.77499962,63.25,365.25,99.25,766.5,217.2480011,1680,543,224,1071,412.1650085,1138.310059,1391,427.5,147.7409973,916,256.6669922,2508.01001,360.5,330.25,654.5
30/06/2008,26.79999924,64,373.75,99.25,758.5,216.5070038,1739,533,224,1086,419.3479919,1156.609985,1403,442.5,155.5090027,914,256.3609924,2487.48999,369.2999878,341.5,658
01/07/2008,25.29999924,63.5,362,97.5,748.5,213.7910004,1696,520,224,1056,398.3529968,1135.079956,1377,432,153.4759979,873,245.6670074,2538.310059,363,335.5,617
02/07/2008,24.75,57.5,353.25,93.5,742.5,214.5319977,1692,516,224,1060,374.0429993,1096.310059,1385,426.75,158.897995,863.5,249.6390076,2514.850098,343.7000122,332.75,568
03/07/2008,24.25,59.25,356,94,750.5,215.272995,1715,530,221.5,1055,386.75,1106,1403,438.5,159.2100067,840,256.9719849,2545.149902,341.5,338.75,604.5
04/07/2008,24.89999962,60,348,96,734.5,206.3849945,1721,508.5,216.5,1027,374.3190002,1088.77002,1400,426.5,158.4810028,818.5,245.6670074,2474.780029,359.2000122,325.5,597
07/07/2008,25.02499962,62.5,350,99.25,741.5,211.5700073,1754,523,202.5,1075,385.0929871,1108.150024,1425,442,161.0870056,839,254.2220001,2509.969971,361.3999939,342.5,609.5
08/07/2008,23.77499962,61.5,347.5,96.75,757,209.1009979,1761,518.5,196,1060,383.1589966,1090.920044,1450,445,163.1719971,816.5,256.3609924,2569.590088,368.8999939,339.25,574
09/07/2008,24.47500038,64,361.25,99.75,768,217.7409973,1800,546,192.5,1053,392.8280029,1108.150024,1444,443,164.8410034,849,262.1669922,2589.139893,378.7999878,350.25,576
10/07/2008,24.22500038,65,389.75,100.75,738.5,212.5570068,1763,517.5,189.5,1028,389.5130005,1093.079956,1428,431.5,160.3569946,845,255.1390076,2463.050049,371,335.25,579.5
11/07/2008,22.20000076,62,371.75,97,729.5,204.904007,1703,490.5,191,986,375.9760132,1074.77002,1379,419.5,152.9019928,811.5,244.4440002,2411.25,355.2999878,313.5,576
14/07/2008,22.5,61,375.5,98,737,206.8789978,1706,502,190,995,376.8049927,1084.459961,1401,426.5,154.2579956,846.5,250.8609924,2375.090088,354.6000061,317.5,584.5
15/07/2008,22.20000076,61.25,375.25,92,723,207.8670044,1700,480.5,174.5,971,382.0539856,1071.540039,1394,425,150.5570068,824,240.2890015,2346.73999,364.7000122,316.75,547
16/07/2008,22.42499924,62.5,385,93,739.5,218.4819946,1708,498,165.5,1002,378.4630127,1083.390015,1393,436.75,152.2769928,871.5,245.0559998,2398.540039,375.7000122,329,522.5
17/07/2008,24.29999924,64,400.25,96,751.5,228.8509979,1755,513.5,165.5,1043,394.7609863,1086.609985,1397,436.75,156.3430023,937.5,253.6109924,2431.77002,388.7999878,351.75,527.5
18/07/2008,27,66,405,99.25,741.5,233.7879944,1793,538,165.5,1054,397.7999878,1131.849976,1397,444,158.4810028,1029,265.5280151,2365.310059,375.7999878,355,530.5
21/07/2008,28.22500038,68,398.5,104.75,735,241.9349976,1772,548,165.5,1056,400.8389893,1130.77002,1415,434.5,155.6130066,997.5,268.5830078,2408.320068,376.2999878,347.5,539
22/07/2008,29.17499924,67.25,400.5,101.75,749.5,237.2440033,1826,540,162.5,1079,406.9159851,1134,1450,446.75,134.5,984.5,265.2219849,2427.860107,381.3999939,353,529.5
23/07/2008,30,69.75,408.75,101,740,244.1569977,1846,571,162.5,1080,410.2309875,1129.689941,1445,444.75,137.0019989,1037,284.1669922,2411.25,383.2999878,368.75,539
24/07/2008,29.79999924,70,399,101.5,747,228.1100006,1840,535.5,162.5,1047,392.2749939,1116.77002,1390,447,139.4519958,1015,278.6669922,2433.72998,376.5,371.25,518.5
25/07/2008,28.29999924,68.5,396.75,70.75,737.5,220.2100067,1845,515.5,161,1060,381.2250061,1099.540039,1394,445.25,138.5659943,969.5,270.4169922,2478.689941,377.2999878,370.5,504
28/07/2008,27.57500076,67.25,384,67.75,730.5,206.8789978,1800,516,164.5,1045,378.1860046,1098.459961,1394,440.5,135.4900055,954.5,262.4719849,2545.149902,375.5,355.75,540
29/07/2008,28.77499962,68.75,394,65.75,735,202.4349976,1810,511.5,162.5,1048,401.9440002,1115.689941,1394,440.25,139.6609955,945,263.0830078,2622.370117,373.3999939,356,548.5
30/07/2008,28.64999962,68.75,395.25,67,727,208.3600006,1866,537,162.5,1036,408.8500061,1124.310059,1405,451,140.7039948,988.5,274.0830078,2678.080078,373.2999878,363.25,553.5
31/07/2008,29.70000076,67.75,393,67,716.5,207.3730011,1828,546,160,1047,404.4299927,1097.390015,1402,450,141.8509979,964,278.3609924,2699.580078,360.3999939,358.25,578.5
01/08/2008,29,69,393.75,69.5,727.5,204.1629944,1812,552,160,1031,401.6679993,1096.310059,1368,460,143.5189972,966.5,272.25,2658.530029,361.2000122,346.5,547.5
04/08/2008,28.85000038,69.75,395.5,70.5,724,203.6699982,1854,547,160,1032,398.6289978,1065.609985,1385,456.25,142.9450073,970,272.8609924,2645.830078,367.2999878,352,503.5
05/08/2008,32.40000153,73.75,411.75,72.25,756.5,219.9629974,1928,588,160,1052,416.0329895,1089.849976,1353,464.5,147.4810028,1007,298.5280151,2728.909912,387.3999939,376,520
