Date,SLAB,FNLC,CVCO,BBI,FARM,NVCN,FARO,BBQ,OPTT,EXAS,SCOR,ATEC
2008-01-03,36.4900016784668,14.630000114440918,29.389999389648438,301.70001220703125,23.09000015258789,90.0,27.239999771118164,12.760000228881836,3168.0,3.4700000286102295,31.489999771118164,58.560001373291016
2008-01-04,34.75,14.579999923706055,29.530000686645508,298.8999938964844,22.5,90.0,25.260000228881836,12.1899995803833,2800.0,3.3499999046325684,30.239999771118164,57.720001220703125
2008-01-07,33.59000015258789,14.75,29.270000457763672,298.8999938964844,22.420000076293945,90.0,24.649999618530273,11.899999618530273,2666.0,3.359999895095825,30.0,56.400001525878906
2008-01-08,31.959999084472656,14.430000305175781,28.649999618530273,299.6000061035156,21.31999969482422,90.0,23.579999923706055,11.640000343322754,2656.0,3.369999885559082,29.940000534057617,56.63999938964844
2008-01-09,31.350000381469727,14.15999984741211,31.850000381469727,297.5,21.739999771118164,90.0,22.25,11.390000343322754,2944.0,3.190000057220459,31.100000381469727,57.0
2008-01-10,31.299999237060547,14.479999542236328,31.309999465942383,295.3999938964844,22.43000030517578,110.0,23.18000030517578,11.550000190734863,2886.0,3.1600000858306885,29.780000686645508,58.08000183105469
2008-01-11,29.989999771118164,14.5600004196167,31.299999237060547,301.0,22.06999969482422,110.0,22.209999084472656,10.890000343322754,2804.0,3.0999999046325684,30.0,57.0
2008-01-14,30.25,14.579999923706055,32.65999984741211,296.1000061035156,21.889999389648438,110.0,22.739999771118164,10.890000343322754,2700.0,3.299999952316284,30.010000228881836,57.2400016784668
2008-01-15,28.229999542236328,14.75,31.850000381469727,295.3999938964844,21.450000762939453,110.0,22.350000381469727,10.600000381469727,2560.0,3.119999885559082,26.5,57.0
2008-01-16,27.010000228881836,14.5,33.130001068115234,300.29998779296875,22.06999969482422,100.0,23.059999465942383,10.289999961853027,2560.0,3.1600000858306885,27.280000686645508,58.91999816894531
2008-01-17,26.899999618530273,14.25,34.709999084472656,282.79998779296875,22.200000762939453,100.0,22.1299991607666,10.149999618530273,2388.0,3.2100000381469727,26.350000381469727,61.31999969482422
2008-01-18,26.670000076293945,14.6899995803833,34.470001220703125,284.8999938964844,21.770000457763672,100.0,21.6200008392334,10.119999885559082,2334.0,3.009999990463257,26.350000381469727,59.63999938964844
2008-01-22,26.799999237060547,14.579999923706055,37.560001373291016,273.0,23.06999969482422,100.0,20.309999465942383,9.489999771118164,2366.0,2.890000104904175,25.1299991607666,59.400001525878906
2008-01-23,26.889999389648438,14.550000190734863,37.619998931884766,263.20001220703125,23.6299991607666,100.0,21.270000457763672,10.199999809265137,2300.0,2.9000000953674316,24.649999618530273,59.52000045776367
2008-01-24,29.190000534057617,14.449999809265137,34.63999938964844,259.70001220703125,22.520000457763672,100.0,21.239999771118164,9.84000015258789,2462.0,2.859999895095825,25.3700008392334,61.20000076293945
2008-01-25,27.940000534057617,14.5,31.479999542236328,263.20001220703125,22.739999771118164,100.0,21.450000762939453,10.100000381469727,2504.0,2.819999933242798,26.18000030517578,60.119998931884766
2008-01-28,28.90999984741211,14.640000343322754,33.599998474121094,257.6000061035156,23.260000228881836,100.0,22.049999237060547,9.609999656677246,2520.0,2.8499999046325684,26.950000762939453,61.79999923706055
2008-01-29,28.469999313354492,14.529999732971191,34.970001220703125,255.5,23.100000381469727,100.0,22.440000534057617,10.760000228881836,2682.0,2.7799999713897705,26.739999771118164,63.0
2008-01-30,31.850000381469727,14.640000343322754,31.139999389648438,261.1000061035156,22.510000228881836,100.0,22.34000015258789,10.850000381469727,2692.0,2.7100000381469727,26.399999618530273,61.560001373291016
2008-01-31,31.239999771118164,14.789999961853027,32.869998931884766,256.8999938964844,23.549999237060547,160.0,23.8799991607666,11.220000267028809,2672.0,2.5299999713897705,26.770000457763672,61.31999969482422
2008-02-01,31.6299991607666,14.779999732971191,32.810001373291016,260.3999938964844,23.989999771118164,160.0,24.670000076293945,11.75,2658.0,2.390000104904175,27.420000076293945,61.68000030517578
2008-02-04,31.299999237060547,14.649999618530273,30.649999618530273,262.5,23.420000076293945,180.0,24.309999465942383,10.989999771118164,2706.0,2.5299999713897705,27.489999771118164,60.0
2008-02-05,30.0,14.550000190734863,30.989999771118164,262.5,22.68000030517578,180.0,22.8700008392334,11.15999984741211,2686.0,2.2200000286102295,26.450000762939453,62.7599983215332
2008-02-06,29.770000457763672,14.489999771118164,31.09000015258789,259.70001220703125,22.8700008392334,190.0,22.43000030517578,10.609999656677246,2582.0,2.2799999713897705,25.75,63.84000015258789
2008-02-07,30.31999969482422,14.489999771118164,30.600000381469727,251.3000030517578,23.0,190.0,22.6299991607666,10.739999771118164,2510.0,2.119999885559082,27.450000762939453,67.44000244140625
2008-02-08,30.899999618530273,14.649999618530273,31.290000915527344,248.5,22.850000381469727,140.0,22.860000610351562,11.069999694824219,2478.0,2.049999952316284,22.920000076293945,70.44000244140625
2008-02-11,32.029998779296875,14.649999618530273,32.029998779296875,249.1999969482422,23.079999923706055,140.0,23.3799991607666,11.100000381469727,2636.0,2.009999990463257,23.899999618530273,72.4800033569336
2008-02-12,31.68000030517578,14.699999809265137,32.2400016784668,236.60000610351562,23.549999237060547,140.0,24.0,11.430000305175781,2588.0,2.0399999618530273,20.969999313354492,72.12000274658203
2008-02-13,32.54999923706055,14.670000076293945,33.279998779296875,254.10000610351562,24.290000915527344,140.0,24.989999771118164,11.520000457763672,2828.0,1.9700000286102295,21.770000457763672,72.5999984741211
