Date,BAS.DE,ALV.DE,BAYN.DE,HEI.DE,DBK.DE,CON.DE,MRK.DE,FRE.DE,ADS.DE,DTE.DE,SIE.DE,FME.DE,PUM.DE,RWE.DE,BMW.DE,VOW3.DE
1999-01-04,16.774999618530273,342.3500061035156,37.494022369384766,60.03401184082031,41.16007995605469,24.17561149597168,19.249666213989258,27.66666603088379,24.25,32.43000030517578,36.56439971923828,21.0,1.149999976158142,49.106475830078125,26.558000564575195,45.7249641418457
1999-01-05,16.30500030517578,337.3599853515625,37.434974670410156,62.742313385009766,41.85915756225586,23.827482223510742,19.2004337310791,27.083332061767578,23.25,32.720001220703125,37.46947479248047,20.133333206176758,1.2170000076293945,49.515113830566406,26.885000228881836,44.92974853515625
1999-01-06,17.100000381469727,346.5,37.64163589477539,64.90895080566406,43.894248962402344,25.142635345458984,18.461956024169922,28.333332061767578,23.075000762939453,34.650001525878906,39.21372985839844,20.03333282470703,1.284000039100647,50.82076644897461,28.461999893188477,47.01719284057617
1999-01-07,16.524999618530273,345.0,36.26390075683594,63.193695068359375,43.14856719970703,24.949230194091797,18.708114624023438,27.16666603088379,22.5,34.150001525878906,38.72921371459961,20.600000381469727,1.2899999618530273,49.63471603393555,27.768999099731445,45.77466583251953
1999-01-08,16.274999618530273,344.1499938964844,35.9293098449707,61.88468551635742,44.135040283203125,24.369016647338867,18.5604190826416,27.083332061767578,23.1875,32.52000045776367,39.407535552978516,19.333332061767578,1.2899999618530273,48.199493408203125,28.180999755859375,46.71898651123047
1999-01-11,15.949999809265137,338.5,35.181396484375,61.88468551635742,43.18740463256836,24.465717315673828,17.969636917114258,26.333332061767578,23.274999618530273,32.31999969482422,39.85910415649414,20.0,1.215000033378601,47.40214920043945,27.268999099731445,45.97346878051758
1999-01-12,15.699999809265137,335.8999938964844,34.4334831237793,61.9298210144043,41.88246154785156,23.69209861755371,17.354238510131836,25.833332061767578,23.377500534057617,32.599998474121094,39.892051696777344,19.833332061767578,1.2350000143051147,46.39550018310547,26.231000900268555,44.03512954711914
1999-01-13,16.325000762939453,319.20001220703125,33.70525360107422,61.83954620361328,38.83759307861328,22.628372192382812,16.24652099609375,24.083332061767578,22.5,31.350000381469727,38.43850326538086,19.5,1.2200000286102295,43.2758903503418,25.038999557495117,41.56001663208008
1999-01-14,16.325000762939453,319.20001220703125,33.70525360107422,61.83954620361328,38.83759307861328,22.628372192382812,16.24652099609375,24.083332061767578,22.5,31.350000381469727,38.43850326538086,19.5,1.2200000286102295,43.2758903503418,25.038999557495117,41.56001663208008
1999-01-15,16.174999237060547,325.45001220703125,33.1541633605957,64.09646606445312,37.65692901611328,22.725074768066406,16.6403751373291,24.058332443237305,21.5,32.59000015258789,36.047908782958984,18.833332061767578,1.25,39.96691131591797,23.42300033569336,40.30754852294922
1999-01-18,16.875,330.5,33.49859619140625,61.388160705566406,38.674476623535156,21.7580509185791,17.969636917114258,23.725000381469727,20.75,34.900001525878906,35.82212448120117,18.616666793823242,1.2200000286102295,39.16956329345703,23.773000717163086,41.4506721496582
1999-01-19,16.424999237060547,326.79998779296875,32.475135803222656,58.770137786865234,38.83759307861328,21.419591903686523,17.329622268676758,24.16666603088379,20.837499618530273,37.29999923706055,35.272682189941406,17.91666603088379,1.25,38.87055969238281,23.5,41.251869201660156
1999-01-20,16.795000076293945,334.45001220703125,32.59322738647461,56.87432861328125,38.91526794433594,22.241561889648438,16.743762969970703,24.833332061767578,21.975000381469727,40.5,39.43951416015625,17.966665267944336,1.2949999570846558,39.368900299072266,24.57699966430664,42.693199157714844
1999-01-21,16.350000381469727,330.5,32.425933837890625,56.87432861328125,38.371543884277344,22.82177734375,16.13821029663086,24.16666603088379,21.225000381469727,38.61000061035156,39.29125213623047,17.183332443237305,1.2999999523162842,40.31574630737305,24.191999435424805,43.73692321777344
1999-01-22,16.350000381469727,330.5,32.425933837890625,56.87432861328125,38.371543884277344,22.82177734375,16.13821029663086,24.16666603088379,21.225000381469727,38.61000061035156,39.29125213623047,17.183332443237305,1.2999999523162842,40.31574630737305,24.191999435424805,43.73692321777344
1999-01-25,16.049999237060547,319.79998779296875,31.884679794311523,56.38683319091797,36.165565490722656,22.04815673828125,15.729585647583008,23.42166519165039,20.024999618530273,36.0099983215332,38.50246047973633,16.5,1.2999999523162842,37.67454147338867,23.538999557495117,40.70515823364258
1999-01-26,15.975000381469727,320.2099914550781,31.77642822265625,56.87432861328125,35.73058319091797,23.208587646484375,15.729585647583008,23.833332061767578,20.1875,35.650001525878906,38.0508918762207,16.16666603088379,1.2999999523162842,37.973548889160156,23.114999771118164,42.643497467041016
1999-01-27,16.0,318.3999938964844,32.08149719238281,55.42989730834961,35.419883728027344,22.918479919433594,15.754201889038086,23.905000686645508,18.950000762939453,36.0,38.82611846923828,16.700000762939453,1.3700000047683716,42.45861053466797,23.461999893188477,42.34529113769531
1999-01-28,16.25,318.6000061035156,32.13070297241211,55.068790435791016,36.8258056640625,22.96683120727539,15.261883735656738,23.583332061767578,18.875,37.849998474121094,39.601341247558594,17.100000381469727,1.350000023841858,41.6612663269043,23.461999893188477,41.35127258300781
1999-01-29,16.024999618530273,325.0,33.183685302734375,54.617408752441406,38.60456848144531,23.11188316345215,16.000362396240234,23.735000610351562,18.25,40.189998626708984,40.376564025878906,17.833332061767578,1.4500000476837158,42.15960693359375,23.961999893188477,42.5639762878418
