Date,1038.HK,0027.HK,0003.HK,1044.HK,0241.HK,0002.HK,0101.HK,0012.HK,2628.HK,0006.HK,0016.HK,0267.HK,0883.HK,2319.HK,1093.HK,0386.HK,0669.HK
2005-01-03,21.799999237060547,6.099999904632568,4.667470932006836,4.7859930992126465,2.2750000953674316,44.599998474121094,12.0,20.731586456298828,5.300000190734863,35.400001525878906,77.75,21.201324462890625,4.175000190734863,3.075000047683716,1.041666030883789,2.461538076400757,17.399999618530273
2005-01-04,21.450000762939453,6.599999904632568,4.551867961883545,4.737649917602539,2.200000047683716,44.400001525878906,11.800000190734863,20.42369270324707,5.25,35.29999923706055,76.25,20.962032318115234,4.050000190734863,3.0250000953674316,1.0364580154418945,2.403846025466919,17.600000381469727
2005-01-05,20.649999618530273,7.550000190734863,4.436264991760254,4.665134906768799,2.174999952316284,44.0,11.5,19.653955459594727,5.099999904632568,35.099998474121094,73.75,20.38772964477539,4.025000095367432,2.924999952316284,1.0208330154418945,2.32692289352417,17.25
2005-01-06,20.600000381469727,9.350000381469727,4.494067192077637,4.689305782318115,2.1500000953674316,44.099998474121094,11.449999809265137,19.55132484436035,5.099999904632568,34.79999923706055,73.75,20.19629669189453,4.0,2.9000000953674316,1.0364580154418945,2.32692289352417,17.399999618530273
2005-01-07,20.600000381469727,7.300000190734863,4.465166091918945,4.640963077545166,2.1500000953674316,43.79999923706055,11.600000381469727,19.192113876342773,5.050000190734863,34.5,71.75,19.90914535522461,3.9749999046325684,3.0,1.015625,2.2884609699249268,17.0
2005-01-10,21.350000381469727,7.050000190734863,4.537417888641357,4.689305782318115,2.1500000953674316,44.099998474121094,11.449999809265137,18.93553352355957,5.199999809265137,34.70000076293945,71.5,20.052719116210938,3.9000000953674316,2.9000000953674316,1.015625,2.3461530208587646,16.850000381469727
2005-01-11,20.75,4.525000095367432,4.52296781539917,4.4959330558776855,2.174999952316284,43.900001525878906,11.399999618530273,18.98685073852539,5.300000190734863,34.5,71.75,20.00486183166504,3.8499999046325684,2.9000000953674316,1.026041030883789,2.32692289352417,16.399999618530273
2005-01-12,20.899999618530273,5.449999809265137,4.609670162200928,4.447588920593262,2.125,44.0,11.300000190734863,18.832902908325195,5.400000095367432,34.70000076293945,72.25,19.861286163330078,3.9000000953674316,2.8499999046325684,1.041666030883789,2.32692289352417,16.850000381469727
2005-01-13,21.049999237060547,7.0,4.551867961883545,4.544276237487793,2.0999999046325684,43.900001525878906,11.5,18.98685073852539,5.349999904632568,34.70000076293945,71.75,19.861286163330078,3.8499999046325684,2.799999952316284,1.03125,2.307692050933838,16.399999618530273
2005-01-14,20.649999618530273,6.5,4.52296781539917,4.616790771484375,2.0250000953674316,43.900001525878906,11.350000381469727,18.678955078125,5.199999809265137,34.599998474121094,70.5,19.669851303100586,3.924999952316284,2.799999952316284,1.03125,2.2884609699249268,16.299999237060547
2005-01-17,21.200000762939453,5.900000095367432,4.580769062042236,4.544276237487793,2.075000047683716,44.0,11.449999809265137,18.678955078125,5.300000190734863,34.599998474121094,72.0,20.10057830810547,4.025000095367432,2.799999952316284,1.026041030883789,2.32692289352417,16.399999618530273
2005-02-03,22.850000381469727,6.800000190734863,4.537417888641357,4.640963077545166,2.299999952316284,43.900001525878906,11.699999809265137,18.11448097229004,5.099999904632568,34.599998474121094,71.25,20.579164505004883,3.924999952316284,2.875,1.0546870231628418,2.365384101867676,17.700000762939453
2005-02-08,23.799999237060547,7.25,4.653020858764648,4.640963077545166,2.5,44.29999923706055,11.75,18.678955078125,5.25,34.900001525878906,72.27999877929688,20.962032318115234,3.9749999046325684,2.924999952316284,1.0807290077209473,2.461538076400757,17.399999618530273
2005-02-14,24.25,7.349999904632568,4.667470932006836,4.640963077545166,2.549999952316284,44.400001525878906,11.899999618530273,18.832902908325195,5.199999809265137,35.099998474121094,72.75,21.249183654785156,4.125,2.9749999046325684,1.09375,2.480768918991089,17.100000381469727
2005-02-15,24.25,7.0,4.696372032165527,4.616790771484375,2.5250000953674316,44.599998474121094,11.899999618530273,18.627639770507812,5.25,34.900001525878906,72.5,21.153465270996094,4.175000190734863,2.875,1.09375,2.5,17.350000381469727
2005-02-16,23.850000381469727,6.849999904632568,4.710822105407715,4.640963077545166,2.549999952316284,44.70000076293945,11.949999809265137,18.576322555541992,5.25,35.29999923706055,72.75,21.153465270996094,4.150000095367432,2.875,1.0807290077209473,2.5,17.75
2005-02-17,23.450000762939453,7.800000190734863,4.653020858764648,4.592619895935059,2.75,44.599998474121094,11.949999809265137,18.627639770507812,5.199999809265137,35.099998474121094,72.25,21.249183654785156,4.199999809265137,2.875,1.0807290077209473,2.5384609699249268,17.649999618530273
2005-02-18,23.5,7.949999809265137,4.7686238288879395,4.568448066711426,2.7249999046325684,44.70000076293945,12.050000190734863,18.884218215942383,5.25,35.20000076293945,73.25,21.344900131225586,4.275000095367432,2.9000000953674316,1.1067700386047363,2.5192298889160156,17.700000762939453
2005-02-21,23.549999237060547,7.900000095367432,4.75417423248291,4.592619895935059,2.575000047683716,44.79999923706055,12.0,18.884218215942383,5.199999809265137,35.29999923706055,73.25,21.44061851501465,4.300000190734863,2.875,1.09375,2.5192298889160156,17.600000381469727
2005-02-22,23.899999618530273,8.050000190734863,4.75417423248291,4.544276237487793,2.625,44.5,12.050000190734863,18.730270385742188,5.199999809265137,35.29999923706055,72.75,21.536334991455078,4.324999809265137,2.875,1.0807290077209473,2.5,17.950000762939453
